LSOA Code,Arson and Criminal Damage,Burglary,Drug Offences,Miscellaneous Crimes Against Society,Possession of Weapons,Public Order Offences,Robbery,Theft,Vehicle Offences,Violence Against the Person
E01000772,1.0043942247332078,1.005021971123666,1.002510985561833,0.0,1.0006277463904583,0.0,0.0,1.002510985561833,1.0156936597614563,1.0138104205900815
E01000773,1.001233806292412,1.012338062924121,1.0037014188772362,1.000616903146206,1.000616903146206,1.000616903146206,0.0,1.001233806292412,1.0117211597779148,1.0092535471930908
E01000774,1.0087542087542087,1.0134680134680134,1.004040404040404,0.0,1.0026936026936026,1.0074074074074073,1.0006734006734006,1.0141414141414142,1.020875420875421,1.0255892255892256
E01000775,1.006404782237404,1.0093936806148591,1.0068317677198975,1.0034158838599487,1.0017079419299744,1.0085397096498718,1.0059777967549104,1.0204953031596926,1.005123825789923,1.0269000853970964
E01000777,1.006269592476489,1.006269592476489,1.0012539184952978,0.0,0.0,1.0006269592476489,0.0,1.0056426332288402,1.0219435736677116,1.0112852664576804
E01000778,1.0062111801242235,1.0055900621118012,1.0037267080745342,1.001863354037267,1.0006211180124223,1.0118012422360247,1.001863354037267,1.0341614906832297,1.022360248447205,1.0366459627329192
E01000779,1.0115740740740742,1.0138888888888888,1.0192901234567902,1.0023148148148149,1.001543209876543,1.0100308641975309,1.0023148148148149,1.0455246913580247,1.0262345679012346,1.033179012345679
E01000780,1.0133333333333334,1.0095238095238095,1.0133333333333334,1.0038095238095237,1.0006349206349205,1.0076190476190476,1.0019047619047619,1.0082539682539682,1.019047619047619,1.0507936507936508
E01000781,1.0089686098654709,1.0070467648942985,1.0064061499039076,1.0019218449711724,1.0006406149903908,1.005765534913517,1.0006406149903908,1.0096092248558617,1.010890454836643,1.0640614990390775
E01000782,1.0254500310366232,1.0155183116076971,1.004965859714463,1.004965859714463,1.0018621973929236,1.0229671011793917,1.0080695220360025,1.0310366232153942,1.0173805090006207,1.0819366852886405
E01000783,1.010995052226498,1.006047278724574,1.0016492578339746,1.0021990104452996,1.000549752611325,1.0093457943925233,1.0016492578339746,1.0043980208905992,1.0120945574491478,1.0434304562946675
E01000784,1.0043103448275863,1.0073891625615763,1.0024630541871922,1.001231527093596,0.0,1.001231527093596,1.001231527093596,1.000615763546798,1.0086206896551724,1.0190886699507389
E01000785,1.0112219451371571,1.0112219451371571,1.0037406483790523,1.0037406483790523,1.0012468827930174,1.0162094763092269,1.004364089775561,1.0124688279301746,1.0112219451371571,1.0455112219451372
E01000786,1.004062288422478,1.00677048070413,1.001354096140826,0.0,1.000677048070413,1.0033852403520649,0.0,1.046039268788084,1.016249153689912,1.018280297901151
E01000787,1.0163154316791299,1.008837525492862,1.0033990482664854,1.0013596193065941,1.0006798096532972,1.0061182868796736,1.0020394289598913,1.0040788579197824,1.0074779061862678,1.025152957171992
E01000788,1.0122265122265122,1.0083655083655083,1.0064350064350065,1.0012870012870012,0.0,1.018018018018018,1.0038610038610039,1.005791505791506,1.016087516087516,1.0334620334620335
E01000789,1.0201970443349753,1.0039408866995074,1.006896551724138,1.000985221674877,1.0004926108374383,1.0113300492610837,1.000985221674877,1.011822660098522,1.0172413793103448,1.0660098522167487
E01000790,1.0208584035298838,1.0200561572402727,1.0100280786201363,1.0040112314480545,1.0024067388688327,1.0348977135980746,1.0056157240272763,1.0998796630565584,1.0200561572402727,1.0750100280786201
E01000791,1.0062326869806095,1.0083102493074791,1.0062326869806095,1.0034626038781163,1.0,1.0041551246537397,1.0006925207756232,1.004847645429363,1.0124653739612188,1.013157894736842
E01000792,1.0182432432432433,1.0047297297297297,1.0067567567567568,1.0040540540540541,1.002027027027027,1.0168918918918919,1.0027027027027027,1.0067567567567568,1.008108108108108,1.0472972972972974
E01000793,1.0021141649048626,1.0014094432699083,1.0014094432699083,1.0007047216349543,0.0,1.0007047216349543,0.0,1.0014094432699083,1.0091613812544045,1.0155038759689923
E01000794,1.0012845215157353,1.0032113037893384,1.001926782273603,0.0,0.0,1.001926782273603,1.0006422607578678,1.0057803468208093,1.0141297366730893,1.0089916506101477
E01000795,1.00647016534867,1.0043134435657801,1.0014378145219267,0.0,1.0007189072609632,1.0050323508267434,1.0014378145219267,1.0028756290438534,1.0158159597411933,1.02372393961179
E01000796,1.0150602409638554,1.0054216867469878,1.0090361445783131,1.0054216867469878,1.0012048192771084,1.0168674698795181,1.0012048192771084,1.010843373493976,1.0150602409638554,1.0596385542168674
E01000797,1.0112359550561798,1.0165582495564756,1.0065050266114726,1.0011827321111768,0.0,1.010053222945003,1.0035481963335304,1.0342992312241277,1.046126552335896,1.0408042578356003
E01000798,1.0179833012202955,1.0109184328837508,1.0109184328837508,1.0038535645472062,1.001926782273603,1.0160565189466924,1.0012845215157353,1.03339755940912,1.0199100834938986,1.0783558124598587
E01000799,1.01863684771033,1.0085197018104366,1.0197018104366347,1.003727369542066,1.0026624068157615,1.0420660276890308,1.0085197018104366,1.0809371671991481,1.016506922257721,1.0830670926517572
E01000800,1.0171489817792068,1.007502679528403,1.019828510182208,1.0021436227224008,1.0005359056806002,1.0203644158628082,1.0032154340836013,1.0187566988210075,1.015005359056806,1.0482315112540193
E01000801,1.010928961748634,1.0066788099574986,1.0060716454159078,1.002428658166363,1.0006071645415908,1.010928961748634,1.002428658166363,1.021250758955677,1.0151791135397692,1.0497874924104433
E01000802,1.0094549499443826,1.0055617352614015,1.003337041156841,1.0011123470522802,0.0,1.003893214682981,1.0022246941045607,1.0111234705228032,1.0144605116796441,1.0239154616240267
E01000803,1.0116822429906542,1.0087616822429906,1.0023364485981308,1.0023364485981308,1.0,1.0058411214953271,1.0029205607476634,1.0087616822429906,1.0257009345794392,1.0233644859813085
E01000804,1.0019292604501608,1.0090032154340836,1.0038585209003215,1.0006430868167202,1.0006430868167202,1.0045016077170419,1.0006430868167202,1.0083601286173633,1.029581993569132,1.0263665594855305
E01000805,1.0088251516822946,1.0044125758411473,1.0044125758411473,1.0011031439602869,1.0016547159404303,1.0088251516822946,1.0016547159404303,1.0088251516822946,1.0154440154440154,1.036403750689465
E01000806,1.0090588827377958,1.0085556114745848,1.0085556114745848,1.0010065425264218,1.0015098137896326,1.0206341217916457,1.0045294413688979,1.0186210367388022,1.0171112229491697,1.0563663814796176
E01000807,1.0103343465045593,1.0072948328267477,1.004255319148936,1.0006079027355623,1.0006079027355623,1.0145896656534954,1.0085106382978724,1.0297872340425531,1.0170212765957447,1.0346504559270517
E01000808,1.0031466331025802,1.0050346129641283,1.0025173064820643,1.0012586532410321,0.0,1.0044052863436124,1.000629326620516,1.0031466331025802,1.013845185651353,1.0106985525487728
E01000809,1.0066401062416999,1.0059760956175299,1.00132802124834,0.0,1.00132802124834,1.00265604249668,1.0,1.0,1.0059760956175299,1.0119521912350598
E01000810,1.00132802124834,1.0086321381142098,0.0,1.00066401062417,0.0,1.00066401062417,1.00132802124834,1.00132802124834,1.0152722443559097,1.0192563081009296
E01000811,1.0066469719350073,1.0036927621861151,1.0029542097488922,1.0014771048744462,0.0,1.000738552437223,1.000738552437223,1.0059084194977843,1.0140324963072378,1.017725258493353
E01000812,1.0038095238095237,1.0076190476190476,1.0012698412698413,1.0031746031746032,0.0,1.0038095238095237,1.0012698412698413,1.006984126984127,1.0222222222222221,1.022857142857143
E01000813,1.0012121212121212,1.0048484848484849,1.0006060606060605,1.0012121212121212,0.0,1.0054545454545454,1.0018181818181817,1.0206060606060605,1.0133333333333334,1.0133333333333334
E01000814,1.0070571630204657,1.0070571630204657,1.001411432604093,1.0,0.0,1.0021171489061398,1.0028228652081863,1.0021171489061398,1.0169371912491179,1.008468595624559
E01000815,1.001958224543081,1.0045691906005223,1.0006527415143602,0.0,0.0,1.0026109660574412,0.0,1.001958224543081,1.0163185378590078,1.010443864229765
E01000816,1.0111038536903985,1.006531678641411,1.0019595035924234,1.001306335728282,1.001306335728282,1.0019595035924234,1.001306335728282,1.0032658393207055,1.03004572175049,1.032658393207054
E01000818,1.001230012300123,1.002460024600246,0.0,0.0,0.0,1.001230012300123,1.001230012300123,1.002460024600246,1.0301353013530135,1.013530135301353
E01000819,1.0045714285714287,1.012,1.0085714285714287,1.0057142857142858,1.002857142857143,1.0171428571428571,1.006857142857143,1.0177142857142858,1.0337142857142858,1.0611428571428572
E01000820,1.0126050420168067,1.0132052821128452,1.0054021608643458,1.0036014405762306,1.0006002400960383,1.0204081632653061,1.0018007202881152,1.0300120048019208,1.0426170468187275,1.046218487394958
E01000822,1.0034482758620689,1.0051724137931035,1.0040229885057472,1.0017241379310344,1.0005747126436781,1.0063218390804598,1.0005747126436781,1.0063218390804598,1.0224137931034483,1.0270114942528736
E01000823,1.0085616438356164,1.0079908675799087,1.0057077625570776,1.00513698630137,1.0005707762557077,1.0085616438356164,1.0005707762557077,1.014840182648402,1.0439497716894977,1.028538812785388
E01000824,1.01609363569861,1.0124359912216532,1.0007315288953913,1.0007315288953913,1.0007315288953913,1.010241404535479,1.0029261155815654,1.0475493782004388,1.0329188002926115,1.0387710314557426
E01000825,1.0085518814139112,1.0045610034207526,1.0057012542759407,1.0017103762827821,0.0,1.0102622576966933,1.000570125427594,1.0125427594070695,1.0216647662485747,1.0330672748004561
E01000826,1.0037617554858935,1.0018808777429467,1.0018808777429467,0.0,0.0,1.0018808777429467,1.0006269592476489,1.0012539184952978,1.0150470219435737,1.0043887147335424
E01000827,1.0035105315947843,1.0050150451354063,1.0025075225677031,1.0005015045135406,1.0005015045135406,1.0070210631895686,1.0005015045135406,1.006519558676028,1.014543630892678,1.0135406218655967
E01000828,1.0044843049327354,1.0056053811659194,1.006726457399103,1.0016816143497758,1.001121076233184,1.0095291479820627,1.0005605381165918,1.0028026905829597,1.0184977578475336,1.022982062780269
E01000829,1.0031746031746032,1.0021164021164022,1.0037037037037038,1.0005291005291006,1.0015873015873016,1.0026455026455026,1.0005291005291006,1.0052910052910053,1.0095238095238095,1.0137566137566139
E01000830,1.002592352559948,1.002592352559948,1.000648088139987,1.000648088139987,0.0,1.0045366169799093,1.000648088139987,1.0038885288399222,1.0233311730395334,1.0116655865197668
E01000831,1.001131221719457,1.0050904977375565,0.0,1.0005656108597285,0.0,1.002262443438914,0.0,1.0028280542986425,1.0169683257918551,1.0164027149321266
E01000832,1.0041039671682626,1.0047879616963065,1.0006839945280437,1.0006839945280437,0.0,1.0020519835841313,0.0,1.0054719562243501,1.0164158686730507,1.0102599179206566
E01000833,1.0007147962830594,1.002144388849178,1.0014295925661187,1.0,0.0,1.0007147962830594,1.0007147962830594,1.002144388849178,1.0178699070764832,1.0135811293781272
E01000834,1.0014992503748126,1.0044977511244377,1.002248875562219,1.0,0.0,1.0029985007496252,1.0014992503748126,1.0104947526236883,1.0134932533733134,1.0074962518740629
E01000835,1.006952491309386,1.011008111239861,1.0063731170336037,1.0011587485515643,1.0005793742757823,1.0231749710312863,1.0052143684820394,1.111819235225956,1.015063731170336,1.0365005793742759
E01000836,1.000711743772242,1.002846975088968,1.000711743772242,1.000711743772242,0.0,1.001423487544484,0.0,1.000711743772242,1.009252669039146,1.0078291814946618
E01000837,1.0071474983755686,1.0051981806367771,1.003898635477583,1.0012995451591944,1.0012995451591944,1.00454840805718,1.0025990903183886,1.0071474983755686,1.0129954515919428,1.0194931773879143
E01000838,1.0062543432939541,1.0041695621959694,0.0,1.0006949270326615,1.0,1.0041695621959694,1.0006949270326615,1.0013898540653232,1.0236275191104933,1.0236275191104933
E01000839,1.001431639226915,1.0028632784538296,1.003579098067287,1.001431639226915,0.0,1.0021474588403723,0.0,1.001431639226915,1.010737294201861,1.0150322118826056
E01000840,1.0027303754266212,1.0027303754266212,1.004778156996587,1.0013651877133105,0.0,1.0027303754266212,0.0,1.004778156996587,1.019112627986348,1.0129692832764505
E01000841,1.0023809523809524,1.006547619047619,1.0011904761904762,1.000595238095238,1.0011904761904762,1.0023809523809524,0.0,1.0089285714285714,1.0142857142857142,1.0107142857142857
E01000842,1.0042826552462527,1.0085653104925054,1.0010706638115632,1.0010706638115632,0.0,1.0042826552462527,1.0010706638115632,1.0128479657387581,1.021948608137045,1.0123126338329764
E01000843,1.0060301507537688,1.008542713567839,1.0025125628140703,1.0015075376884421,1.000502512562814,1.008542713567839,1.0020100502512563,1.0190954773869347,1.0115577889447236,1.0175879396984924
E01000844,1.004149377593361,1.0087597971415398,0.0,1.0004610419548179,1.0004610419548179,1.0046104195481789,1.0013831258644537,1.0253573075149838,1.0156754264638082,1.0221300138312586
E01000845,1.0113519091847265,1.019091847265222,1.0092879256965945,1.0020639834881322,1.000515995872033,1.0113519091847265,1.0082559339525283,1.0402476780185759,1.021671826625387,1.0330237358101135
E01000846,1.008097165991903,1.004626951995373,1.0086755349913246,1.0011567379988433,0.0,1.0069404279930596,1.0052053209947946,1.0242914979757085,1.0133024869866976,1.0254482359745518
E01000847,1.008849557522124,1.0098328416912488,1.0019665683382497,1.0004916420845624,1.0004916420845624,1.0083579154375615,1.0029498525073746,1.0231071779744345,1.016715830875123,1.0294985250737463
E01000848,1.0072727272727273,1.009090909090909,1.000909090909091,0.0,0.0,1.0081818181818183,1.0004545454545455,1.0231818181818182,1.0240909090909092,1.0154545454545454
E01000849,1.00355871886121,1.0081342145399086,0.0,0.0,1.0005083884087442,1.009150991357397,1.005592272496187,1.0386375190645654,1.0081342145399086,1.0122013218098627
E01000850,1.0198511166253101,1.0293631100082714,1.0169561621174525,1.0016542597187759,1.0008271298593878,1.0264681555004136,1.0264681555004136,1.2994210090984284,1.0252274607113316,1.0512820512820513
E01000851,1.004889056036104,1.0240691989469726,1.0056412185031967,1.0015043249341857,1.0003760812335465,1.0071455434373824,1.0060172997367431,1.1124482888303873,1.0082737871380218,1.0248213614140655
E01000852,1.01022780102278,1.0130172013017202,1.0139470013947,1.00046490004649,1.00046490004649,1.01906090190609,1.0074384007438402,1.1162250116225012,1.0162715016271502,1.0348675034867503
E01000853,1.0156774916013438,1.0156774916013438,1.007838745800672,1.002239641657335,1.0005599104143337,1.0195968645016797,1.0067189249720045,1.108622620380739,1.0044792833146696,1.0604703247480403
E01000854,1.0232007575757576,1.0269886363636365,1.0113636363636365,1.003787878787879,1.0014204545454546,1.0601325757575757,1.037405303030303,1.4446022727272727,1.0203598484848484,1.1136363636363635
E01000855,1.0193511667615254,1.0335799658508822,1.0398406374501992,1.0056915196357428,1.0045532157085941,1.036994877632328,1.0398406374501992,1.3938531587933978,1.0472396129766648,1.076835515082527
E01000856,1.0121827411167512,1.016751269035533,1.034010152284264,1.0020304568527918,1.00253807106599,1.0248730964467005,1.0096446700507615,1.0857868020304569,1.0111675126903554,1.0761421319796953
E01000857,1.005868544600939,1.0064553990610328,1.0082159624413145,1.0017605633802817,0.0,1.0088028169014085,1.0082159624413145,1.022887323943662,1.0252347417840375,1.022300469483568
E01000858,1.0183066361556063,1.0155606407322655,1.0356979405034326,1.0027459954233409,1.0036613272311212,1.020137299771167,1.0105263157894737,1.0622425629290617,1.0118993135011443,1.0695652173913044
E01000859,1.0078947368421052,1.016842105263158,1.0021052631578948,1.0005263157894737,1.0005263157894737,1.0084210526315789,1.0057894736842106,1.0605263157894738,1.0321052631578946,1.0236842105263158
E01000860,1.0086035737921906,1.0052945069490404,1.00198544010589,1.00132362673726,0.0,1.0099272005294506,1.00198544010589,1.0363997352746526,1.013898080741231,1.0244870946393116
