,Unnamed: 0,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code,lat,lon
176,176,Lowndes Square,5450000,Flat / Apartment,1920,3,3,3,,London,SW1X 9HB,51.50042320000001,-0.1579398
177,177,Basilica Mews,2325000,New development,2392,4,4,4,,Thurleigh Road,SW12 8UF,51.45243199999999,-0.1552512
178,178,Devonshire Mews South,3750000,House,3256,3,3,3,Marylebone,London,W1G 6QW,51.5208914,-0.1488539
179,179,Ovington Gardens,1750000,Flat / Apartment,714,2,2,2,,London,SW3 1LS,51.49753459999999,-0.1658506
180,180,Cubitt Building,750000,Flat / Apartment,604,1,1,1, Chelsea,London,SW1W 8QL,51.4864482,-0.1487806
181,181,Iverna Court,3150000,Flat / Apartment,1755,4,4,4,,London,W8 6TS,51.5002778,-0.1936921
182,182,Selborne Villas,1150000,House,2357,4,4,4, Esher,Surrey,KT10 9UD,51.3720308,-0.3598898
183,183,Waleorde Road,575000,Flat / Apartment,800,2,2,2,,London,SE17 1GG,51.4887176,-0.09507489999999999
184,184,Louisville Road,1250000,House,2475,6,6,6,,London,SW17 8RU,51.4340278,-0.1543668
185,185,Langroyd Road,1150000,House,1703,4,4,4,,London,SW17 7PL,51.43751880000001,-0.163075
186,186,Dance Square,650000,Flat / Apartment,584,1,1,1, Clerkenwell,London,EC1V 3AN,51.5258796,-0.0975314
187,187,Cranbrook Road,1295000,House,1356,4,4,4,Chiswick,London,W4 2LH,51.49192499999999,-0.2531566
188,188,Buer Road,765000,Flat / Apartment,1362,3,3,3, Fulham,London,SW6 4LA,51.4705218,-0.2089783
189,189,Lillian Road,1100000,House,1420,3,3,3,Barnes,London,SW13 9JF,51.4872054,-0.2364269
190,190,Ranelagh Avenue,2350000,House,2153,4,4,4,Barnes,London,SW13 0BL,51.4716917,-0.2411287
191,191,Hillbrook Road,965000,House,1222,4,4,4,Tooting Bec,London,SW17  8SF,51.4322542,-0.1599628
192,192,Weller Court,1750000,Flat / Apartment,732,1,1,1, Holland Park,London,W11 3NT,51.5086155,-0.2049196
193,193,"The oTTo, Hackney",800000,New development,1119,2,2,2, Clapton,E5 8DE,E5 8DS,51.5558913,-0.0577192
194,194,The Grange,1050000,House,2375,5,5,5, Walton-on-Thames,Surrey,KT12 3HN,51.3797446,-0.4106424
195,195,Stuart Tower,475000,Flat / Apartment,525,1,1,1,105 Maida Vale,London,W9 1UJ,51.5280369,-0.1813912
196,196,Abbey Road Cross,752500,New development,874,2,2,2,131-143 Belsize Road,London,NW6 4BR,51.5394724,-0.187583
197,197,Ardleigh Road,1399950,House,1748,4,4,4,,De Beauvoir,N1 4FA,51.5435418,-0.08322349999999999
198,198,Littleworth Avenue,2795000,House,6061,7,7,7,Esher,Surrey,KT10 9PB,51.3659076,-0.3554538
199,199,Ruxley Crescent,1750000,New development,3913,4,4,4, Esher,Surrey,KT10 0TX,51.35810420000001,-0.3245217
200,200,Clapham Common West Side,2995000,House,3406,5,5,5,Between The Commons,London,SW4 9AU,51.4565549,-0.1555169
201,201,Parkfield Avenue,1825000,House,2500,5,5,5,,London,SW14 8DY,51.4636486,-0.2583679
202,202,Sutherland House,550000,Flat / Apartment,609,2,2,2,137-139 Queenstown Road,London,SW8 3RJ,51.4705547,-0.1496972
203,203,Hambalt Road,1850000,House,2516,5,5,5,,London,SW4 9EL,51.4544983,-0.1380538
204,204,Ormond House,625000,Flat / Apartment,428,1,1,1, Westminster,London,SW1P 2TB,51.4959734,-0.1318844
205,205,Buckingham Gate,2290000,Flat / Apartment,1604,2,2,2,St. James's,London,SW1E 6LB,51.4993659,-0.1390216
206,206,Radnor Walk,3450000,House,1820,5,5,5,Chelsea,London,SW3 4BN,51.4876565,-0.1650084
